description,artist,album,format,extra
"Sverdsveit ""Blizzard of Hate"" MC | Cassette",Sverdsveit,Blizzard of Hate,Cassette,
"Sex Messiah ""Metal Del Chivo"" Test Press | Vinyl",Sex Messiah,Metal Del Chivo,Vinyl,
"Satanize ""Baphomet Altar Worship"" CD | CD",Satanize,Baphomet Altar Worship,CD,
"Witch King ""Voice of the Ossuary"" LP | Vinyl",Witch King,Voice of the Ossuary,Vinyl,
"Deceased ""Behind the Mourner's Veil"" MC | Cassette",Deceased,Behind the Mourner's Veil,Cassette,
"Nimrod ""Time of Changes"" CD | CD",Nimrod,Time of Changes,CD,
"Hidden Pride ""Brutal Advice"" LP | Vinyl",Hidden Pride,Brutal Advice,Vinyl,
"Simorgh ""Shokooh​-​e Mehr Va Atash"" CD | CD",Simorgh,Shokooh​-​e Mehr Va Atash,CD,
"Ceremonial Oath ""The Book of Truth"" LP | Vinyl",Ceremonial Oath,The Book of Truth,Vinyl,
"Owl Cave ""Behind the Red Drape"" CDR | CD",Owl Cave,Behind the Red Drape,CD,
"Evoke ""Forever Breeding Evil"" Test Press LP | Vinyl",Evoke,Forever Breeding Evil,Vinyl,
"Ephemer ""Gloire Immortelle"" CD | CD",Ephemer,Gloire Immortelle,CD,
"Ringarë ""Thrall of Winter's Majesty"" LP | Vinyl",Ringarë,Thrall of Winter's Majesty,Vinyl,
"Diocletian ""Darkness Swallows All"" MLP | Vinyl",Diocletian,Darkness Swallows All,Vinyl,
"Vorkuta ""Morbid Audial Plaguestorm"" Demo | Cassette",Vorkuta,Morbid Audial Plaguestorm,Cassette,
"Bolt Thrower ""Mercenary"" LP | Vinyl",Bolt Thrower,Mercenary,Vinyl,
"Haar ""2012 EP"" CD | CD",Haar,2012 EP,CD,
"Mortem ""De Natura Daemonum"" CD | CD",Mortem,De Natura Daemonum,CD,
"Savage Grace ""Ride into the Night + Demo 1983"" CD | CD",Savage Grace,Ride into the Night + Demo 1983,CD,
"Vargr ""F.T.W."" LP | Vinyl",Vargr,F.T.W.,Vinyl,
"Pyreficativm ""Shin the Serpent Tongue"" Digipak CD | CD",Pyreficativm,Shin the Serpent Tongue,CD,
"Leprophiliac ""Slimebath"" CD | CD",Leprophiliac,Slimebath,CD,
"Urfeind ""Þurisabloþa"" LP | Vinyl",Urfeind,Þurisabloþa,Vinyl,
"Skon ""As the End of a Journey"" CD | CD",Skon,As the End of a Journey,CD,
"Thalarion Lati ""S/T"" CD | CD",Thalarion Lati,S/T,CD,
"Stress ""Kísértet Kastély"" CD | CD",Stress,Kísértet Kastély,CD,
Credo (КРЕДО) “Paying for Everything (Платим За Все)” LP+7″ | Vinyl,Credo (КРЕДО),Paying for Everything (Платим За Все),Vinyl,
"En La Niebla ""El limbo de Los Callados"" LP | Vinyl",En La Niebla,El limbo de Los Callados,Vinyl,
"Carnifex ""Pathological Rites"" LP | Vinyl",Carnifex,Pathological Rites,Vinyl,
"Obscene "" From Dead Horizon​.​.​.​To Dead Horizon"" MC | Cassette",Obscene, From Dead Horizon​.​.​.​To Dead Horizon,Cassette,
Mordichrist ”Dressed In Menace” 7’’ | Vinyl,,,,
"Black Blessing ""Black Metal Propaganda"" Demo | Cassette",Black Blessing,Black Metal Propaganda,Cassette,
Crucifixion Bell “Subterranean Shadows” MC | Cassette,Crucifixion Bell,Subterranean Shadows,Cassette,
"Departure Chandelier ""Antichrist Rise to Power - French Edition"" White Vinyl LP (Osmose) | Vinyl",Departure Chandelier,Antichrist Rise to Power - French Edition,Vinyl,
"Order From Chaos ""An Ending in Fire"" LP | Vinyl",Order From Chaos,An Ending in Fire,Vinyl,
"Malfeitor / Amok Split 7"" | Vinyl",,,,
"Remmirath ""Shambhala Vril Saucers"" MC | Cassette",Remmirath,Shambhala Vril Saucers,Cassette,
"Innerless Skin on a Water ""S/T"" CDR | CD",Innerless Skin on a Water,S/T,CD,
"Perverted Ceremony ""Sabbat of Behezaël"" LP | Vinyl",Perverted Ceremony,Sabbat of Behezaël,Vinyl,
"Ancient Wisdom ""For Snow Covered The Northland"" LP | Vinyl",Ancient Wisdom,For Snow Covered The Northland,Vinyl,
"Suffocation ""Breeding the Spawn"" Blue Vinyl LP | Vinyl",Suffocation,Breeding the Spawn,Vinyl,
"Ratos De Porão ""Necropolítica"" LP | Vinyl",Ratos De Porão,Necropolítica,Vinyl,
"Trhä / Acheulean Forests ""Die Macht Der Feenflamme"" Split LP | Vinyl",Trhä / Acheulean Forests,Die Macht Der Feenflamme,Vinyl,
"Salvation666 ""Sermo Diaboli"" Demo | Cassette",Salvation666,Sermo Diaboli,Cassette,
"Sacrilega ""The Arcana Spear"" CD | CD",Sacrilega,The Arcana Spear,CD,
"Crimson Relic ""Purgatory's Reign"" LP | Vinyl",Crimson Relic,Purgatory's Reign,Vinyl,
"Emissary ""Emissary"" LP | Vinyl",Emissary,Emissary,Vinyl,
"Moase ""Memoirs Of A Secret Empire"" Digipak CD | CD",Moase,Memoirs Of A Secret Empire,CD,
"Pénombre ""Méphistophélès (ou le diable sur terre)"" LP | Vinyl",Pénombre,Méphistophélès (ou le diable sur terre),Vinyl,
"Severed Boy ""Tragic Encounters"" MC | Cassette",Severed Boy,Tragic Encounters,Cassette,
Sonic Terrorism / Morbid Agression Split LP | Vinyl,,,,
"Siculicidium ""Utolsó Vágta az Univerzumban"" LP | Vinyl",Siculicidium,Utolsó Vágta az Univerzumban,Vinyl,
"Kult Mogil ""K+M+B 2015"" LP | Vinyl",Kult Mogil,K+M+B 2015,Vinyl,
"Ultra Silvam ""The Sanctity of Death"" CD | CD",Ultra Silvam,The Sanctity of Death,CD,
"Kenaz ""Volonté de fer ancestrale"" CD | CD",Kenaz,Volonté de fer ancestrale,CD,
"Nächtlich ""Third Ritual"" LP | Vinyl",Nächtlich,Third Ritual,Vinyl,
"Ulver ""Vargnatt"" LP | Vinyl",Ulver,Vargnatt,Vinyl,
"Clouds ""Departe"" CD | CD",Clouds,Departe,CD,
"Hermóðr / Is ""When the Frost Has Stopped the Time"" Split CD | CD",Hermóðr / Is,When the Frost Has Stopped the Time,CD,
"Serpent Crest ""Ritual Euthanasia"" Black Vinyl LP | Vinyl",Serpent Crest,Ritual Euthanasia,Vinyl,
"Nocturnal Triumph ""Into Light's Graven Womb"" Digipak CD | CD",Nocturnal Triumph,Into Light's Graven Womb,CD,
"Treacherous ""Voracious Fields of Famine"" Demo | Cassette",Treacherous,Voracious Fields of Famine,Cassette,
"Siege Golem (Ocaдный Голем) ""Профанация"" Demo | Cassette",Siege Golem (Ocaдный Голем),Профанация,Cassette,
"Entombed ""Crawl"" Picture MLP | Vinyl",Entombed,Crawl,Vinyl,
"Daemonlust ""Death, The Heart of Satan"" LP | Vinyl",Daemonlust,"Death, The Heart of Satan",Vinyl,
"Necrophagia ""Nightmare Continues"" Digipak CD | CD",Necrophagia,Nightmare Continues,CD,
"Seep ""Souveniers of a Necrosadist"" MLP | Vinyl",Seep,Souveniers of a Necrosadist,Vinyl,
"Funeral Frost ""Watch Them Burn"" 7"" | Vinyl",Funeral Frost,Watch Them Burn,Vinyl,
"Orgrel ""Red Dragon's Invocation"" Digipak CD | CD",Orgrel,Red Dragon's Invocation,CD,
"HELLBUTCHER ""CONDEMNATUS TORMENTUM"" CD | CD",HELLBUTCHER,CONDEMNATUS TORMENTUM,CD,
"Hermanos Peláez ""FO"" White Cover LP | Vinyl",Hermanos Peláez,FO,Vinyl,
"Devil Lee Rot / Ajatus Split 10"" | Vinyl",,,,
"Mütiilation ""Black Millenium ""Grimly Reborn)"" CD | CD",Mütiilation,"Black Millenium ""Grimly Reborn)",CD,
"Heads For The Dead ""In The Absence Of Faith"" LP | Vinyl",Heads For The Dead,In The Absence Of Faith,Vinyl,
"Anal Vomit ""Demoniac Flagellations"" LP | Vinyl",Anal Vomit,Demoniac Flagellations,Vinyl,
"Jikininki ""The Opaque World"" MC | Cassette",Jikininki,The Opaque World,Cassette,
"Thornium ""Dominions Of The Eclipse"" CD | CD",Thornium,Dominions Of The Eclipse,CD,
"Wound ""Serpent Crown"" LP | Vinyl",Wound,Serpent Crown,Vinyl,
"Grógaldr ""Grógaldr"" CD | CD",Grógaldr,Grógaldr,CD,
"Famulus ab Satanas ""Sacred Assembly Beneath Unholy Secrecy"" LP | Vinyl",Famulus ab Satanas,Sacred Assembly Beneath Unholy Secrecy,Vinyl,
"Beastial Majesty ""Night of the Hunter"" 7"" | Vinyl",Beastial Majesty,Night of the Hunter,Vinyl,
"Tozibabe ""Tozibabe"" LP | Vinyl",Tozibabe,Tozibabe,Vinyl,
"Tyranni ""Baron av Avoghetens Smärta"" MC | Cassette",Tyranni,Baron av Avoghetens Smärta,Cassette,
"Ancient Rites ""Dim Carcosa"" CD | CD",Ancient Rites,Dim Carcosa,CD,
"Chasmal Mire ""Chasmal Mire"" MC | CD",Chasmal Mire,Chasmal Mire,CD,
"Dulvitund ""Huldar Slóðir"" Demo | Cassette",Dulvitund,Huldar Slóðir,Cassette,
"Angelcorpse ""Of Lucifer And Lightning"" LP | Vinyl",Angelcorpse,Of Lucifer And Lightning,Vinyl,
"Necrophobic ‎""Mark Of The Necrogram"" CD | CD",,,,
"Blooming Carrions ""Sisters in Blooming Flesh"" LP | Vinyl",Blooming Carrions,Sisters in Blooming Flesh,Vinyl,
"Sentiessence ""Gilded Wings Athwart the Black Sun"" MC | Cassette",Sentiessence,Gilded Wings Athwart the Black Sun,Cassette,
"Beherit ""At the Devil's Studio 1990"" LP (NWN Edition) | Vinyl",Beherit,At the Devil's Studio 1990,Vinyl,
"Obscenity ""Perversion Mankind"" CD | CD",Obscenity,Perversion Mankind,CD,
"Demonic Compulsion / Infernal Puke Split 7"" | Vinyl",,,,
"Agatus ""The Weaving Fates"" CD | CD",Agatus,The Weaving Fates,CD,
"Leprophiliac ""Gein"" LP | Vinyl",Leprophiliac,Gein,Vinyl,
"Prieuré ""Nos Prières"" Demo | Cassette",Prieuré,Nos Prières,Cassette,
Capel Beulah / Olkoth Spit MC | Cassette,,,,
"Golden Dawn ""Early Obscurity​.​.​. Part 1"" 7"" (Lim to 21) | Vinyl",Golden Dawn,Early Obscurity​.​.​. Part 1,Vinyl,
"Uraeus ""A Serpente Triunfante"" CD | CD",Uraeus,A Serpente Triunfante,CD,
"Chao Abyssi ""Spiritual Essence"" CD | CD",Chao Abyssi,Spiritual Essence,CD,
"Hunok ""Megrendíthetetlenség"" LP | Vinyl",Hunok,Megrendíthetetlenség,Vinyl,
"Ulcerrhoea ""Line and Row"" CD | CD",Ulcerrhoea,Line and Row,CD,
"Nocturnal Breed ""Napalm Nights"" CD | CD",Nocturnal Breed,Napalm Nights,CD,
"Blood Omen ""Wraiths of Primeval Battlefields"" 7"" | Vinyl",Blood Omen,Wraiths of Primeval Battlefields,Vinyl,
"Hell Icon ""Symphonia Corrumptor"" 7"" (Lim to 100) | Vinyl",Hell Icon,Symphonia Corrumptor,Vinyl,
"Pandemonium ""Devilry"" Test Press LP | Vinyl",Pandemonium,Devilry,Vinyl,
"Valac ""Howls of Infinite Horror"" Digipak CD | CD",Valac,Howls of Infinite Horror,CD,
"Argentum ""Mondo Morto (Mors Imperium Aetheriam)"" CD | CD",Argentum,Mondo Morto (Mors Imperium Aetheriam),CD,
"Goatfire ""The Fifth Fulmination"" 7"" | Vinyl",Goatfire,The Fifth Fulmination,Vinyl,
"Abortofacient ""In the Crypt of Gore"" MLP | Vinyl",Abortofacient,In the Crypt of Gore,Vinyl,
"Incarnated ""Try Before Die"" CD | CD",Incarnated,Try Before Die,CD,
"Bleakwood ""Solypsis"" LP | Vinyl",Bleakwood,Solypsis,Vinyl,
"Rhinocervs ""RH-16"" LP | Vinyl",Rhinocervs,RH-16,Vinyl,
"Kiss ""Alive!"" Double LP | Vinyl",Kiss,Alive!,Vinyl,
Possessor ¨Electric Hell¨ MC | Cassette,,,,
"Ara ""Blutroter Mond"" LP | Vinyl",Ara,Blutroter Mond,Vinyl,
"Nocturnal Vomit / Empheris Split 7"" | Vinyl",,,,
"Krabathor ""Feelings of Dethronistation - Demo 1991"" LP | Vinyl",Krabathor,Feelings of Dethronistation - Demo 1991,Vinyl,
"Tarvos ""Beholden to Saturn"" Demo | Cassette",Tarvos,Beholden to Saturn,Cassette,
"Malign Hex ""Putrescent Phantoms Of Life's Failure"" Demo | Cassette",Malign Hex,Putrescent Phantoms Of Life's Failure,Cassette,
"Baise Ma Hache ""F.E.R.T"" LP | Vinyl",Baise Ma Hache,F.E.R.T,Vinyl,
"Grieve ""Funeral"" LP | Vinyl",Grieve,Funeral,Vinyl,
"Vampyric Blood ""Watching The Nights Rot In Eternal Melancholy"" MLP | Vinyl",Vampyric Blood,Watching The Nights Rot In Eternal Melancholy,Vinyl,
"Abigail / Lustrum ""Too Wild for the Crowd"" Split 7"" | Vinyl",Abigail / Lustrum,Too Wild for the Crowd,Vinyl,
"Azziard ""Vesanie"" CD | CD",Azziard,Vesanie,CD,
"Alkerdeel ""Slonk"" LP | Vinyl",Alkerdeel,Slonk,Vinyl,
"Mephisterror ""Gods"" CD | CD",Mephisterror,Gods,CD,
"Helios Fundraiser - NWN ""Rok Painting #2"" TS | CD",Helios Fundraiser - NWN,Rok Painting #2,CD,
Arcane Shadows “From the Dungeons” LP | Vinyl,Arcane Shadows,From the Dungeons,Vinyl,
"Sol Sistere ""Sol Sistere"" Digipak CD | CD",Sol Sistere,Sol Sistere,CD,
"Chevallier Skrog / Dracul's Grasp Split 10"" | Vinyl",,,,
"Sacred Whore/Putresanct ""Split"" CD | CD",Sacred Whore/Putresanct,Split,CD,
Ifernach / Mort Aux Gueux Split LP (GoatowaRex) | Vinyl,,,,
"Ripped To Shreds ""埋葬 (Mai Zang)"" LP (Pulverised Press) | Vinyl",Ripped to Shreds,埋葬 (Mai Zang),Vinyl,
"Massacred ""The Devil's Awakening"" CD | CD",Massacred,The Devil's Awakening,CD,
"Pestkreuz ""Perdition Discipline"" CD | CD",Pestkreuz,Perdition Discipline,CD,
Blackhorned / Hak-Ed Damm Split CD | CD,,,,
"Ripped to Shreds ""Mai Zang"" LP (Night Rythms Press) | Vinyl",Ripped to Shreds,Mai Zang,Vinyl,
"Cauchemar ""Rosa Mystica"" LP | Vinyl",Cauchemar,Rosa Mystica,Vinyl,
"Nargaroth ""Jahreszeiten"" Black Vinyl Double LP | Vinyl",Nargaroth,Jahreszeiten,Vinyl,
"Tymbos ""...For the Wars to Come"" CD | CD",Tymbos,...For the Wars to Come,CD,
"Taarenes Vaar ""Demo Sessions 1996-1998"" LP (Norse Cult BM) | Vinyl",Taarenes Vaar,Demo Sessions 1996-1998,Vinyl,
"Gorrch ""Introvertere"" Digipak CD | CD",Gorrch,Introvertere,CD,
"Chelmno ""Under Our Cemetery"" LP | Vinyl",Chelmno,Under Our Cemetery,Vinyl,
"Profane Creation ""Prelude to the Dark Side (1991 - 1995)"" CD | CD",Profane Creation,Prelude to the Dark Side (1991 - 1995),CD,
"Dreams of the Drowned ""I"" CD | CD",Dreams of the Drowned,I,CD,
"Trhä ""Vat gëlénva​!​!​!"" Double LP | Vinyl",Trhä,Vat gëlénva​!​!​!,Vinyl,
"Siege ""Drop Dead - Complete Discography"" Double LP | Vinyl",Siege,Drop Dead - Complete Discography,Vinyl,
"Root ""Hell Symphony"" LP | Vinyl",Root,Hell Symphony,Vinyl,
"Astral Evocation ""Mantra Obscura"" Demo | Cassette",Astral Evocation,Mantra Obscura,Cassette,
"Kyrios ""The Utterance of Foul Truths"" 7"" | Vinyl",Kyrios,The Utterance of Foul Truths,Vinyl,
"Melek​-​tha / Dolorism / Vallee des Larmes / Grimsvotn ""Quattuor Liberabit Si Aenigma Explicata Erit"" Digipak CD | CD",Melek​-​tha / Dolorism / Vallee des Larmes / Grimsvotn,Quattuor Liberabit Si Aenigma Explicata Erit,CD,
"Bewitched ""Pentagram Prayer"" LP | Vinyl",Bewitched,Pentagram Prayer,Vinyl,
"Baptized by Fire ""Upon the Pyre"" MC | Cassette",Baptized by Fire,Upon the Pyre,Cassette,
"Burzum ""Sôl Austan, Mâni Vestan"" Double LP | Vinyl",Burzum,"Sôl Austan, Mâni Vestan",Vinyl,
"Barbatos ""Live! Eat Shit Vomit in Finland"" CD | CD",Barbatos,Live! Eat Shit Vomit in Finland,CD,
"Headcleaners ""Headcleaners"" LP | Vinyl",Headcleaners,Headcleaners,Vinyl,
"Over the Voids ""Hadal"" LP | Vinyl",Over the Voids,Hadal,Vinyl,
"Mycologia ""Assorted Mushrooms of New England Vol.1"" LP | Vinyl",MYCOLOGIA,Assorted Mushrooms of New England Vol.1,Vinyl,
"Old Sorcery ""Strange and Eternal"" CD | CD",Old Sorcery,Strange and Eternal,CD,
"Patibulum ""Ninurta's Call Heeded"" Demo | Cassette",Patibulum,Ninurta's Call Heeded,Cassette,
"Drowning The Light ""Blood of the Ancients"" LP | Vinyl",Drowning The Light,Blood of the Ancients,Vinyl,
"Kurnugia ""Blood and Necrosemen"" LP | Vinyl",Kurnugia,Blood and Necrosemen,Vinyl,
"Hanghedief ""Overduyvelsche Boosheit"" LP | Vinyl",Hanghedief,Overduyvelsche Boosheit,Vinyl,
"Lord Belfegor ""Warn to Heaven I Come from Hell"" CD | CD",Lord Belfegor,Warn to Heaven I Come from Hell,CD,
"Kamp ""Kamp"" 10"" | Vinyl",Kamp,Kamp,Vinyl,
"Eteritus ""Following the Ancient Path"" CD | CD",Eteritus,Following the Ancient Path,CD,
"Meslamtaea ""Weemoedsklanken"" LP | Vinyl",Meslamtaea,Weemoedsklanken,Vinyl,
"Fleshgrind ""Destined For Defilement"" LP | Vinyl",Fleshgrind,Destined For Defilement,Vinyl,
"Voidsphere ""To Infect | To Inflict"" LP | Vinyl",Voidsphere,To Infect | To Inflict,Vinyl,
"Arsine Ingest ""Guillotine Emancipation"" 7"" | Vinyl",Arsine Ingest,Guillotine Emancipation,Vinyl,
"Void Prayer ""Relics of the Storm"" LP | Vinyl",Void Prayer,Relics of the Storm,Vinyl,
"Extirpation ""Reverse the Reality"" CD | CD",Extirpation,Reverse the Reality,CD,
"Borda's Rope ""Nearer the Shores of Kothal"" Digipak CD | CD",Borda's Rope,Nearer the Shores of Kothal,CD,
"Slayer ""Hamburg Maniacs - Live 29, April 1987"" Double LP | Vinyl",Slayer,"Hamburg Maniacs - Live 29, April 1987",Vinyl,
"Morbid Blood / Darkesthrash ""Necromental Storm (Demo 93) / Place of Horror (Demo 91)"" LP | Vinyl",Morbid Blood / Darkesthrash,Necromental Storm (Demo 93) / Place of Horror (Demo 91),Vinyl,
"Sarcofagus ""Cycle of Life"" LP | Vinyl",Sarcofagus,Cycle of Life,Vinyl,
"Limbonic Art ""Epitome Of Illusions"" LP | Vinyl",Limbonic Art,Epitome Of Illusions,Vinyl,
"Lord Belial ""Kiss the Goat"" MC | Cassette",Lord Belial,Kiss the Goat,Cassette,
"Funeral Mist ""Salvation"" Double LP (2003 1st Press) | Vinyl",Funeral Mist,Salvation,Vinyl,
"Grave ""Into the Grave"" LP | Vinyl",Grave,Into the Grave,Vinyl,
"Funeral Discipline ""Total"" MC | Cassette",Funeral Discipline,Total,Cassette,
"Doomprayer ""Otchłanie Ciemności"" CD | CD",Doomprayer,Otchłanie Ciemności,CD,
"Vendetta Blitz ""Stratagem"" 10"" (Post Helheim Project) | Vinyl",Vendetta Blitz,Stratagem,Vinyl,
"Leviathan ""Massive Conspiracy Against All Life"" CD | CD",Leviathan,Massive Conspiracy Against All Life,CD,
"Vothana ""Chính Sách Vũ Lực Tàn Bạo - Demo III"" Double LP | Vinyl",Vothana,Chính Sách Vũ Lực Tàn Bạo - Demo III,Vinyl,
"Repulsive Death ""Remnants of Decomposition"" CD | CD",Repulsive Death,Remnants of Decomposition,CD,
"Darkwraith ""The First Flame"" Demo | Cassette",Darkwraith,The First Flame,Cassette,
"Muspellzheimr / Aiwigaz Undergangaz Split 10"" | Vinyl",,,,
"Necrodeity ""Death Over Kalikshetra"" Demo | Cassette",Necrodeity,Death Over Kalikshetra,Cassette,
"Sphere ""π"" Double LP | Vinyl",Sphere,π,Vinyl,
"Bloody Sign ""Explosion of Elements"" LP | Vinyl",Bloody Sign,Explosion of Elements,Vinyl,
"Watain ""The Wild Hunt"" CD | CD",Watain,The Wild Hunt,CD,
"In Pain ""The Thing From The Grave"" Digipak CD | CD",In Pain,The Thing From The Grave,CD,
"Majesty of the Crimson Moon ""The Whispering of the Fullmoon"" LP | Vinyl",Majesty of the Crimson Moon,The Whispering of the Fullmoon,Vinyl,
"Guillotine ""The Howl"" CD (Russian Evil Thrash) | CD",Guillotine,The Howl,CD,
Venefices “Incubacy” MC (Ex Bestial Raids) | Cassette,Venefices,Incubacy,Cassette,
"Wyqm ""Wyqm"" Green/black haze vinyl LP | Vinyl",Wyqm,Wyqm,Vinyl,
"Infidel ""Ejaculating Chaos"" CD | CD",Infidel,Ejaculating Chaos,CD,
"Null ""Entity"" MC | Cassette",Null,Entity,Cassette,
Glass Coffin / Unrest Split LP | Vinyl,,,,
"Emperor ""IX Equilibrium"" LP | Vinyl",Emperor,IX Equilibrium,Vinyl,
"Parricide ""A Future Of Suffering"" CD | CD",Parricide,A Future Of Suffering,CD,
"Ossuarium ""Calcified Trophies Of Violence"" Digipak CD | CD",Ossuarium,Calcified Trophies Of Violence,CD,
"Dreadful Relic ""Archaic Conjurations"" MLP | Vinyl",Dreadful Relic,Archaic Conjurations,Vinyl,
"Wolfsschrei / Isaz ""Leichentanz"" Split 7"" | Vinyl",Wolfsschrei / Isaz,Leichentanz,Vinyl,
"Miasmal ""Creation Of Fire / Bionic Godhead Erase"" Red Vinyl 7"" | Vinyl",Miasmal,Creation Of Fire / Bionic Godhead Erase,Vinyl,
"At The Gates ""To Drink From The Night Itself"" Red Vinyl LP | Vinyl",At The Gates,To Drink From The Night Itself,Vinyl,
Industrial Suicide “1989-2019” LP | Vinyl,Industrial Suicide,1989-2019,Vinyl,
Omegavortex / Pious Levus Split CD | CD,,,,
"Iætun ""Eitrkvikja"" LP | Vinyl",Iætun,Eitrkvikja,Vinyl,
"The Black Furs ""Stereophonic Freak Out Vol​.​1"" LP | Vinyl",The Black Furs,Stereophonic Freak Out Vol​.​1,Vinyl,
"Moonblood ""The Evil Rules"" Double LP | Vinyl",Moonblood,The Evil Rules,Vinyl,
"Funeratus ""Vision from Hell"" 7"" | Vinyl",Funeratus,Vision From Hell,Vinyl,
"Funereus ""Profane Rite Of Morbid Glorification"" MC | Cassette",Funereus,Profane Rite Of Morbid Glorification,Cassette,
"Gärgäntuäh ""Urmystyk"" Digipak CD | CD",Gärgäntuäh,Urmystyk,CD,
"Baphorator ""I​.​B​.​L​.​I​.​S."" LP | Vinyl",Baphorator,I​.​B​.​L​.​I​.​S.,Vinyl,
"The Cure ""Kiss Me, Kiss Me, Kiss Me Demos"" LP | Vinyl",The Cure,"Kiss Me, Kiss Me, Kiss Me Demos",Vinyl,
"Infernal Nature ""Defilement"" MC | Cassette",Infernal Nature,Defilement,Cassette,
"Kalmankantaja ""Waeltaja"" Digipak CD | CD",Kalmankantaja,Waeltaja,CD,
"Elffor ""Arkaik III"" LP | Vinyl",Elffor,Arkaik III,Vinyl,
"Adder ""MMXIX"" LP | Vinyl",Adder,MMXIX,Vinyl,
"Spell Caster ""Demo III - Manifestations Of Death"" LP (Lim to 100) | Vinyl",Spell Caster,Demo III - Manifestations Of Death,Vinyl,
"Damnation Call ""Carnage of Soul"" CD | CD",Damnation Call,Carnage of Soul,CD,
Altered Heresy/Spider God Split LP (GoatowaRex) | Vinyl,,,,
"Sepulchral Whisper ""Misanthropic Vision"" Demo | Cassette",Sepulchral Whisper,Misanthropic Vision,Cassette,
Archaic Tomb / Cryptworm Split MC | Cassette,,,,
"Evil (Japan) ""Buried Alive"" Demo | Cassette",Evil (Japan),Buried Alive,Cassette,
"Leprophiliac ""Slimebath"" LP | Vinyl",Leprophiliac,Slimebath,Vinyl,
"Fester ""Silence"" MC | Cassette",Fester,Silence,Cassette,
"N'Zwaa ""Maha Kali"" Digipak CD | CD",N'Zwaa,Maha Kali,CD,
"Obskuritatem ""Arogantni Nihilizam"" Double LP | Vinyl",Obskuritatem,Arogantni Nihilizam,Vinyl,
"Heosphoros ""Aster Obscuration"" Demo | Cassette",Heosphoros,Aster Obscuration,Cassette,
"Lek ""Shadows of Black Souls"" LP | Vinyl",Lek,Shadows of Black Souls,Vinyl,
"Wayward ""Wayward"" Demo | Cassette",Wayward,Wayward,Cassette,
"Pontifferasmus ""Husk the Mountains"" LP (Lim to 100) | Vinyl",Pontifferasmus,Husk the Mountains,Vinyl,
"Ehlder ""Nordabetraktelse"" CD | CD",Ehlder,Nordabetraktelse,CD,
Kalmankantaja / Oþalan Split CD | CD,,,,
"Merrimack ""Omegaphilia"" Digipak CD | CD",Merrimack,Omegaphilia,CD,
"Szron / Martwa Aura ""Temples of Genocide Worship"" Split LP | Vinyl",Szron / Martwa Aura,Temples of Genocide Worship,Vinyl,
"Fimbultyr ""Gryende Tidevarv"" CD | CD",Fimbultyr,Gryende Tidevarv,CD,
"Vénen ""Parameśvara"" CD | CD",Vénen,Parameśvara,CD,
"Angelcorpse ""The Inexorable"" LP | Vinyl",Angelcorpse,The Inexorable,Vinyl,
"Parabellum ""Sacrilegio/Mutacion Por Radiacion"" Version 1 LP | Vinyl",Parabellum,Sacrilegio/Mutacion Por Radiacion,Vinyl,
