"(DOLCH) ""Tonight"" 10"" | Vinyl",(DOLCH),Tonight,Vinyl,
"Black Oath ""Samhain"" CD | CD",Black Oath,Samhain,CD,
"Black Oath ""The Third Aeon"" LP | CD",Black Oath,The Third Aeon,CD,
"Black Panther ""B 0101"" CD | CD",Black Panther,B 0101,CD,
"Black Panther ""Black Panther V"" CD | CD",Black Panther,Black Panther V,CD,
"Black Spell ""Season of the Damned"" CD | CD",Black Spell,Season of the Damned,CD,
"Black Witchcraft ""Malignus: Interdicti Legendae De Viribus Infernis Diaboli"" CD | CD",Black Witchcraft,Malignus: Interdicti Legendae De Viribus Infernis Diaboli,CD,
"Black Witchery ""Inferno of Sacred Destruction"" CD | CD",Black Witchery,Inferno of Sacred Destruction,CD,
"Black Witchery ""Upheaval of Satanic Might"" CD | CD",Black Witchery,Upheaval of Satanic Might,CD,
"Blackdeath ""Gift"" CD | CD",Blackdeath,Gift,CD,
"Blackdeath ""Phantasmhassgorie"" Digipak CD | CD",Blackdeath,Phantasmhassgorie,CD,
"Blackdeath ""Phobos"" CD | CD",Blackdeath,Phobos,CD,
"Blackdeath ""Totentanz"" Digipak CD | CD",Blackdeath,Totentanz,CD,
"Blackflow ""Seeds of Downfall"" CD | CD",Blackflow,Seeds of Downfall,CD,
"Blackwinds ""Flesh Inferno"" CD | CD",Blackwinds,Flesh Inferno,CD,
"Blasphemy ""Blood Upon the Altar + Bonus"" CD | CD",Blasphemy,Blood Upon the Altar + Bonus,CD,
"Blasphemy ""Gods of War"" CD | CD",Blasphemy,Gods of War,CD,
"Blix ""Quarantine"" CD | CD",Blix,Quarantine,CD,
"Blodtår ""Blodtår"" CD | CD",Blodtår,Blodtår,CD,
Blodtår “Det Förtegna Förflutna” CD | CD,Blodtår,Det Förtegna Förflutna,CD,
"Blood And Sun ""Love & Ashes"" CD | CD",Blood And Sun,Love & Ashes,CD,
"Blood And Sun ""Ochre"" Digipak CD | CD",Blood And Sun,Ochre,CD,
"Blood Incantation ""Timewave Zero"" Digipak CD + Blueray | CD",Blood Incantation,Timewave Zero,CD,
"Blood Magic ""Goetic Blood Spells"" CD | CD",Blood Magic,Goetic Blood Spells,CD,
"Blood Moon ""Through The Scarlet Veil"" Digipak CD | CD",Blood Moon,Through The Scarlet Veil,CD,
"Blood Tyrant ""Codex Cruor"" CD | CD",Blood Tyrant,Codex Cruor,CD,
"Bloodbath ""Nightmares Made Flesh"" CD | CD",Bloodbath,Nightmares Made Flesh,CD,
"Bloodline ""Hate Procession"" CD | CD",Bloodline,Hate Procession,CD,
"Bloodrain ""Bloodrain II: Ultimatum"" CD | CD",Bloodrain,Bloodrain II: Ultimatum,CD,
"Bloody Cross ""Forgotten Hellish Ritual from the Empire of Lucifer (Vol. II & Vol .III)"" Double CD | CD",Bloody Cross,Forgotten Hellish Ritual from the Empire of Lucifer (Vol. II & Vol .III),CD,
Bloody Vengeance “Ruido De Guerra” CD | CD,Bloody Vengeance,Ruido De Guerra,CD,
"Blooming Carrions ""Sisters in Blooming Flesh"" Digipak CD | CD",Blooming Carrions,Sisters in Blooming Flesh,CD,
"Blot & Bod ""Ormekongens Argelist"" Digipak CD | CD",Blot & Bod,Ormekongens Argelist,CD,
"Boia / Spasticus ""Spasticating Execution"" Split CD | CD",Boia / Spasticus,Spasticating Execution,CD,
"Bombarder ""Okot Iz Pakla"" CD | CD",Bombarder,Okot Iz Pakla,CD,
"Bombarder ""Speed Kill"" CD (Bosnian Cult Speed Metal 1989) | CD",Bombarder,Speed Kill,CD,
"Bonestorm ""Hidden Horizon"" CD | CD",Bonestorm,Hidden Horizon,CD,
"Borda's Rope ""Nearer the Shores of Kothal"" Digipak CD | CD",Borda's Rope,Nearer the Shores of Kothal,CD,
"Borda's Rope ""Parable of a Drowned Fate"" Digipak CD | CD",Borda's Rope,Parable of a Drowned Fate,CD,
"Brody's Militia ""Covered in Violence"" CD | CD",Brody's Militia,Covered in Violence,CD,
"Broken Bones ""A Single Decade"" Digipak CD | CD",Broken Bones,A Single Decade,CD,
"Bròn ""Pred dverima noći"" CD | CD",Bròn,Pred dverima noći,CD,
"Burial Choir ""The Eucharist of Martyrs"" Digipak CD | CD",Burial Choir,The Eucharist of Martyrs,CD,
"Buried Alive / Dinkumoil ""Rehearsal MMXXII / The Official Bootleg Studio Live"" CD | CD",Buried Alive / Dinkumoil,Rehearsal MMXXII / The Official Bootleg Studio Live,CD,
"Burier ""Cremation Of Lingering Hope"" CD | CD",Burier,Cremation Of Lingering Hope,CD,
"Burier ""I"" CD | CD",Burier,I,CD,
"Burier ""II"" CD | CD",Burier,II,CD,
"Burier ""In Communion With Death"" CD | CD",Burier,In Communion With Death,CD,
"Burier ""Wielding Malignity"" CD | CD",Burier,Wielding Malignity,CD,
"Burning Winds ""Return to Hell"" CD | CD",Burning Winds,Return to Hell,CD,
"Burzum ""Aske"" CD | CD",Burzum,Aske,CD,
"Burzum ""Belus"" CD | CD",Burzum,Belus,CD,
"Burzum ""Det Som Engang Var"" CD | CD",Burzum,Det Som Engang Var,CD,
"Burzum ""Fallen"" CD | CD",Burzum,Fallen,CD,
"Byyrth ""Cold Autumn Shadows"" Digipak CD | CD",Byyrth,Cold Autumn Shadows,CD,
"Cadaveric Fumes ""Echoing Chambers of Soul"" CD | CD",Cadaveric Fumes,Echoing Chambers of Soul,CD,
"Cadaverous Quartet ""The Complete Agenda"" CD | CD",Cadaverous Quartet,The Complete Agenda,CD,
"Caedes Cruenta ""Of Ritual Necrophagia and Mysterious Ghoul Cults"" CD | CD",Caedes Cruenta,Of Ritual Necrophagia and Mysterious Ghoul Cults,CD,
"Cancer Spreading ""Ghastly Visions"" CD | CD",Cancer Spreading,Ghastly Visions,CD,
"Cancerbero (Argentina) ""Exhumados"" CD | CD",Cancerbero (Argentina),Exhumados,CD,
"Caos ""Caos"" CD | CD",Caos,Caos,CD,
"Carathis ""Amethyst & Moonstone"" CD | CD",Carathis,Amethyst & Moonstone,CD,
"Carathis ""The Haunting of Sablewood"" CD | CD",Carathis,The Haunting of Sablewood,CD,
"Carbonized ""Carbonized Demo Collection"" CD | CD",Carbonized,Carbonized Demo Collection,CD,
"Carcinoma / Abyssal ""Apanthropinization"" Split CD | CD",Carcinoma / Abyssal,Apanthropinization,CD,
Carpe Tenebrum “Majestic Nothingness” CD | CD,Carpe Tenebrum,Majestic Nothingness,CD,
"Catacumba ""Kratos"" CD | CD",Catacumba,Kratos,CD,
"Cataplexy ""...Lunar Eclipse, Chaos to the Ruin..."" CD | CD",Cataplexy,"...Lunar Eclipse, Chaos to the Ruin...",CD,
"Cataplexy ""Archives"" CD | CD",Cataplexy,Archives,CD,
"Caveman Cult ""Savage War is Destiny"" CD | CD",Caveman Cult,Savage War is Destiny,CD,
"Caverne ""Aux Frontières Du Monde"" CD | CD",Caverne,Aux Frontières Du Monde,CD,
"Caverne ""Sentiers D'Avant"" CD | CD",Caverne,Sentiers D'Avant,CD,
"Cefaris ""Ritual of Vampyric Blood"" CD | CD",Cefaris,Ritual of Vampyric Blood,CD,
"Celestial Key ""Immortal Crown"" CD | CD",Celestial Key,Immortal Crown,CD,
"Celtefog ""Delta"" Digipak CD | CD",Celtefog,Delta,CD,
"Cemetery Lights ""Consumption"" CD | CD",Cemetery Lights,Consumption,CD,
"Cemetery Lights ""The Underworld"" CD | CD",Cemetery Lights,The Underworld,CD,
"Cénotaphe ""Horizons"" MC | CD",Cénotaphe,Horizons,CD,
"Centinex ""World Declension"" Digipak CD | CD",Centinex,World Declension,CD,
"Ceremonial Torture ""Trilogy of Apocryphal Torments"" Digipak CD | CD",Ceremonial Torture,Trilogy of Apocryphal Torments,CD,
"Ceres ""Tyrant's Rise"" CD | CD",Ceres,Tyrant's Rise,CD,
"Chalice / Illska ""Split Demo 1993"" Digipak CD | CD",Chalice / Illska,Split Demo 1993,CD,
"Challenger ""Turned to Dust"" CD | CD",Challenger,Turned to Dust,CD,
"Chao Abyssi ""Spiritual Essence"" CD | CD",Chao Abyssi,Spiritual Essence,CD,
"Chaos Echoes ""Mouvement"" Digipak CD | CD",Chaos Echoes,Mouvement,CD,
"Charnel Altar ""Abatement of the Sun"" CD | CD",Charnel Altar,Abatement of the Sun,CD,
"Charnel Winds / Verge ""Two Serpents"" Split CD | CD",Charnel Winds / Verge,Two Serpents,CD,
"Chasmal Mire ""Chasmal Mire"" CD | CD",Chasmal Mire,Chasmal Mire,CD,
"Chasmal Mire ""Chasmal Mire"" MC | CD",Chasmal Mire,Chasmal Mire,CD,
"Chinnamunda ""Laughter of the Skygoers"" Digipak CD | CD",Chinnamunda,Laughter of the Skygoers,CD,
"Christ Agony ""Darkside"" CD (Original Press) | CD",Christ Agony,Darkside,CD,
"Christ Agony ""Darkside"" Double CD | CD",Christ Agony,Darkside,CD,
"Christ Agony ""Moonlight Act III"" CD | CD",Christ Agony,Moonlight Act III,CD,
"Christ Agony ""Trilogy"" CD | CD",Christ Agony,Trilogy,CD,
"Chunked ""Inhaling the Infestation"" CD | CD",Chunked,Inhaling the Infestation,CD,
"Churchacide / Plague Swarm ""Eschatological Retaliation"" Split Digipak CD | CD",Churchacide / Plague Swarm,Eschatological Retaliation,CD,
"Cien ""Ecce Homo"" CD | CD",Cien,Ecce Homo,CD,
"Cien ""Time of Anti-Humanity"" CD | CD",Cien,Time of Anti-Humanity,CD,
"Cimmerian Possession ""Sadistic Storm"" CD | CD",Cimmerian Possession,Sadistic Storm,CD,
"Circle of Dawn ""Northern Savonian Black Metal"" Digipak CD | CD",Circle of Dawn,Northern Savonian Black Metal,CD,
"Circumventor ""Norton X"" CD | CD",Circumventor,Norton X,CD,
"Cirrhus ""Live Rehearsal May 2 2009"" CD | CD",Cirrhus,Live Rehearsal May 2 2009,CD,
"Clairvoyance ""Threshold Of Nothingness"" CD | CD",Clairvoyance,Threshold of Nothingness,CD,
"Clouds ""Departe"" CD | CD",Clouds,Departe,CD,
"Clouds ""Despartire"" CD | CD",Clouds,Despartire,CD,
"Clouds ""Destin"" CD | CD",Clouds,Destin,CD,
"Clouds ""Doliu"" CD | CD",Clouds,Doliu,CD,
"Clouds ""Dor"" CD | CD",Clouds,Dor,CD,
"CNTMPT ""Towards Neglect"" Digipak CD | CD",CNTMPT,Towards Neglect,CD,
"Code Red ""Fan of the Sun"" CD | CD",Code Red,Fan of the Sun,CD,
"Code Red ""Wolves Of Warfield"" CD | CD",Code Red,Wolves Of Warfield,CD,
"Coffin ""Coffin"" CD | CD",Coffin,Coffin,CD,
"Coltre ""Under the Influence"" CD | CD",Coltre,Under the Influence,CD,
"Condescendance ""Chao Wampirii"" Digipak CD | CD",Condescendance,Chao Wampirii,CD,
"Condor ""Nadia"" CD | CD",Condor,Nadia,CD,
"Coniferous Myst ""Lost Mountain Pathways"" Digipak CD | CD",Coniferous Myst,Lost Mountain Pathways,CD,
"Conqueror ""Nuclear.Cult.Supremacy"" CD | CD",Conqueror,Nuclear.Cult.Supremacy,CD,
"CONSUMED ""Dehumanize to Demonize"" Digipak CD | CD",CONSUMED,Dehumanize to Demonize,CD,
"Contaminated ""Celebratory Beheading"" CD | CD",Contaminated,Celebratory Beheading,CD,
"Contaminazione ""Pericolo Di Morte"" CD | CD",Contaminazione,Pericolo Di Morte,CD,
"Coprophilia ""The Demo Collection 1991-1992"" Digipak CD | CD",Coprophilia,The Demo Collection 1991-1992,CD,
"Corpsefucking Art ""Beverly Hills Corpse (LIVE)"" CD | CD",Corpsefucking Art,Beverly Hills Corpse (LIVE),CD,
"Count Raven ""The Sixth Storm"" CD | CD",Count Raven,The Sixth Storm,CD,
"Countess ""Sermons of the Infidel"" Digipak CD | CD",Countess,Sermons of the Infidel,CD,
"Countess ""The Gospel of the Horned One"" CD | CD",Countess,The Gospel of the Horned One,CD,
"Crasher ""The Human Killing / Starvation"" CD | CD",Crasher,The Human Killing / Starvation,CD,
"Crematorio ""A La Suerte Del Abismo"" CD | CD",Crematorio,A La Suerte Del Abismo,CD,
"Crematorio ""El Rostro de la Opresion"" CD | CD",Crematorio,El Rostro de la Opresion,CD,
"Crematorio ""Terminal, Mundo Social"" CD | CD",Crematorio,"Terminal, Mundo Social",CD,
"Crime ""First Crime"" CD | CD",Crime,First Crime,CD,
"CRUCIFICATOR ""Sunrise in the Suicide Front"" CD | CD",CRUCIFICATOR,Sunrise in the Suicide Front,CD,
"Crucifier ""Led Astray"" Digipak CD | CD",Crucifier,Led Astray,CD,
"Crucifier ""Say Your Prayers"" MCD | CD",Crucifier,Say Your Prayers,CD,
"Crucifixion Bell ""Eternal Grip of the Nocturnal Empire"" Digipak CD | CD",Crucifixion Bell,Eternal Grip of the Nocturnal Empire,CD,
"Crucifyre ""Post Vulcanic Black"" CD | CD",Crucifyre,Post Vulcanic Black,CD,
"Cruel Fate ""Destin Cruel"" CD | CD",Cruel Fate,Destin Cruel,CD,
"Cruentation ""Cruentation"" CD | CD",Cruentation,Cruentation,CD,
"Cruentus ""Night Embrace Me"" CD | CD",Cruentus,Night Embrace Me,CD,
"Crust ""... And a Dirge Becomes an Anthem"" CD | CD",Crust,... And a Dirge Becomes an Anthem,CD,
"CRYPT OF KERBEROS ""WORLD OF MYTHS"" Digipak CD | CD",CRYPT OF KERBEROS,WORLD OF MYTHS,CD,
"Cryptic Shift ""Visitations from Enceladus - Pleasure of Plasma"" Double CD | CD",Cryptic Shift,Visitations from Enceladus - Pleasure of Plasma,CD,
"Cryptic Shift ""Visitations From Enceladus"" Single CD | CD",Cryptic Shift,Visitations From Enceladus,CD,
"Cryptworm ""Oozing Radioactive Vomition"" CD | CD",Cryptworm,Oozing Radioactive Vomition,CD,
"Cryptworm ""Spewing Mephitic Putridity"" Digipak CD | CD",Cryptworm,Spewing Mephitic Putridity,CD,
"Cthonium / Osculum Infame ""Cthonium Chants From An Infamous Past"" CD | CD",Cthonium / Osculum Infame,Cthonium Chants From An Infamous Past,CD,
"Cthulhu ""Telepathic pre-Knowledge"" CDr | CD",Cthulhu,Telepathic pre-Knowledge,CD,
"Cult of Erinyes ""Metempsychosis"" CD | CD",Cult of Erinyes,Metempsychosis,CD,
"Cult of Light ""The Luminous Spiral"" Digipak CD | CD",Cult of Light,The Luminous Spiral,CD,
"Cultes Des Ghoules ""Deeds Without a Name"" MCD | CD",Cultes Des Ghoules,Deeds Without a Name,CD,
"Cultes Des Ghoules ""Eyes of Satan"" MCD | CD",Cultes Des Ghoules,Eyes of Satan,CD,
"Cultfinder ""Hell's Teeth"" CD | CD",Cultfinder,Hell's Teeth,CD,
"Cultus ""Gezeteld in Zegeruïnen"" CD | CD",Cultus,Gezeteld in Zegeruïnen,CD,
"Cursed Coven ""Execranda Gentilitas Ibi Veneraretur"" CD | CD",Cursed Coven,Execranda Gentilitas Ibi Veneraretur,CD,
"Cxaxukluth ""In Deathly Silence of Mortal Agony"" CD | CD",Cxaxukluth,In Deathly Silence of Mortal Agony,CD,
"Cynabare Urne ""In the Cremation Ground"" CD | CD",Cynabare Urne,In the Cremation Ground,CD,
"Cynabare Urne ""Obsidian Daggers And Cinnabar Skulls"" LP | CD",Cynabare Urne,Obsidian Daggers and Cinnabar Skulls,CD,
"Dagorath ""Glare of the Morning Star"" CD | CD",Dagorath,Glare of the Morning Star,CD,
"Dai ""Demos 1989-1992"" CD | CD",Dai,Demos 1989-1992,CD,
"Dai ""The Advent"" CD | CD",Dai,The Advent,CD,
"Dakhma ""Passageways to Daena"" Digipak CD | CD",Dakhma,Passageways to Daena,CD,
"Damage ""Damage - 1987 Demo"" CD | CD",Damage,Damage - 1987 Demo,CD,
"Damnation Call ""Carnage of Soul"" CD | CD",Damnation Call,Carnage of Soul,CD,
"Daniel ""Šakal"" Švarc & GIWMÜR - Varuji nebe!!!"" CD (Ex Torr) | CD",Daniel,Šakal,CD,
"Danishmendt ""Un Passe Aride"" CD | CD",Danishmendt,Un Passe Aride,CD,
"Dark Funeral ""The Secrets Of The Black Arts"" Double CD | CD",Dark Funeral,The Secrets Of The Black Arts,CD,
"Dark Funeral ""Vobiscum Satanas"" CD | CD",Dark Funeral,Vobiscum Satanas,CD,
"Dark Opera ""The Journey To The Both Paths Of Life, Sins And Resurrection"" CD | CD",Dark Opera,"The Journey To The Both Paths Of Life, Sins And Resurrection",CD,
"Dark Storm ""War Victory"" 3"" CD | CD",Dark Storm,War Victory,CD,
"Darkness ""Defenders of Justice"" CD | CD",Darkness,Defenders of Justice,CD,
"Dauþuz (Dauthuz) ""Vom Schwarzen Schmied"" Digipak CD | CD",Dauþuz (Dauthuz),Vom Schwarzen Schmied,CD,
"Dave Phillips ""Don't Hurt Me For Your Pretty"" Digipak CD | CD",Dave Phillips,Don't Hurt Me For Your Pretty,CD,
"Dawn Of Dissolution ""Divine"" CD | CD",Dawn Of Dissolution,Divine,CD,
"Dawnbringer ""In Sickness and in Dreams"" CD | CD",Dawnbringer,In Sickness and in Dreams,CD,
"Dawnfall ""Drei Räume"" CD | CD",Dawnfall,Drei Räume,CD,
"De Arma ""Nightcall"" Digipak CD | CD",De Arma,Nightcall,CD,
"De Arma ""Strayed in Shadows"" CD | CD",De Arma,Strayed in Shadows,CD,
"Dead Conspiracy ""Dead Conspiracy"" CD | CD",Dead Conspiracy,Dead Conspiracy,CD,
"Dead Dog's Howl ""Black Circle Transcendency"" Digipak CD | CD",Dead Dog's Howl,Black Circle Transcendency,CD,
"Dead Dog's Howl ""Mausoleum Of Confessed Thoughts"" Digipak CD | CD",Dead Dog's Howl,Mausoleum Of Confessed Thoughts,CD,
"Dead Monuments ""Dead Monuments"" CD | CD",Dead Monuments,Dead Monuments,CD,
"Deafen ""The Leading To a Fall + Demos + Live"" Double CD | CD",Deafen,The Leading To a Fall + Demos + Live,CD,
"Death Magick ""Demo MMXXIII"" Digipak CD | CD",Death Magick,Demo MMXXIII,CD,
"Death Oath ""Demon's Curse Demo Collection"" CD (90's Turkish Deathrash) | CD",Death Oath,Demon's Curse Demo Collection,CD,
"Death Racer ""Qualifying"" MC | CD",Death Racer,Qualifying,CD,
"Death Skull ""Ready to Nail Him Again"" CD | CD",Death Skull,Ready to Nail Him Again,CD,
"Death SS ""The 7Th Seal"" CD | CD",Death SS,The 7Th Seal,CD,
"Death Wolf ""Death Wolf"" Digipak CD | CD",Death Wolf,Death Wolf,CD,
"Death Wolf ""IV: Come the Dark"" Digipak CD | CD",Death Wolf,IV: Come the Dark,CD,
"Death's Cold Wind ""Subyugador - In Goat We Trust"" CD | CD",Death's Cold Wind,Subyugador - In Goat We Trust,CD,
"Death. Void. Terror. ""To The Great Monolith II "" Digipak CD | CD",DEATH. VOID. TERROR.,To The Great Monolith II ,CD,
"DeathCult ""Tyrant of All Tyrants"" CD | CD",DeathCult,Tyrant of All Tyrants,CD,
"Deathlike Silence ""Deathlike Silence"" CD | CD",Deathlike Silence,Deathlike Silence,CD,
"Deathmoor ""Actus Sacrophagia Mortem"" CD | CD",Deathmoor,Actus Sacrophagia Mortem,CD,
"Deathrite ""Delirium"" CD | CD",Deathrite,Delirium,CD,
"Deathroner ""Death to All"" CD | CD",Deathroner,Death to All,CD,
"Deathwalk ""Djevelens Urkraft"" Digipak CD | CD",Deathwalk,Djevelens Urkraft,CD,
"Deathwitch ""Triumphant Devastation"" Digipak CD | CD",Deathwitch,Triumphant Devastation,CD,
"Deber ""Aspire To Affliction"" CD | CD",Deber,Aspire To Affliction,CD,
"Decayed ""Hexagram"" CD | CD",Decayed,Hexagram,CD,
"Decayed ""In Lustful Mayhem + Bonus"" Digipak CD | CD",Decayed,In Lustful Mayhem + Bonus,CD,
"Decayed ""Resurrectiónem Mortuórum"" CD | CD",Decayed,Resurrectiónem Mortuórum,CD,
"Decayed ""The Ancient Brethren"" CD | CD",Decayed,The Ancient Brethren,CD,
"Deceased ""As The Weird Travel On"" CD | CD",Deceased,As The Weird Travel On,CD,
"Deep Desolation ""Boski Jad"" CD | CD",Deep Desolation,Boski Jad,CD,
"Deep Desolation ""Boski Jad"" LP | CD",Deep Desolation,Boski Jad,CD,
"Defiant ""Era of Substitution"" CD | CD",Defiant,Era of Substitution,CD,
"Defleshed ""Reclaim the Beat"" CD | CD",Defleshed,Reclaim the Beat,CD,
"Defuntos / Bosque ""Split"" CD | CD",Defuntos / Bosque,Split,CD,
"Deicide ""Til Death Do Us Part"" CD | CD",Deicide,Til Death Do Us Part,CD,
"Deiphago ""Brazilian Ritual: Bestial Massacre II"" CD | CD",Deiphago,Brazilian Ritual: Bestial Massacre II,CD,
"Deisidaemonia ""Khthonian Hymns"" CD | CD",Deisidaemonia,Khthonian Hymns,CD,
"Délétère ""Theovorator: Babelis Testamentum"" CD | CD",Délétère,Theovorator: Babelis Testamentum,CD,
"Demacrator ""The Legacy"" CD | CD",Demacrator,The Legacy,CD,
"Demogorgon ""Demogorgon"" CD (Greek BM '95) | CD",Demogorgon,Demogorgon,CD,
"Demonic Rage ""Omen of Doom"" CD | CD",Demonic Rage,Omen of Doom,CD,
"Demonic Temple ""Incrementum"" CD | CD",Demonic Temple,Incrementum,CD,
"Demonio ""Electric Voodoo of the Black Dawn"" CD | CD",Demonio,Electric Voodoo of the Black Dawn,CD,
"Demonos ""From Sacred to Profane"" CD | CD",Demonos,From Sacred to Profane,CD,
"Demons Gate ""Demons Gate"" CD | CD",Demons Gate,Demons Gate,CD,
"Denevér ""Vámpír"" CD | CD",Denevér,Vámpír,CD,
"Denunciation ""California Commando"" CD | CD",Denunciation,California Commando,CD,
"Deprive ""Temple of the Lost Wisdom"" CD | CD",Deprive,Temple of the Lost Wisdom,CD,
"Deranged ""The Redlight Murder Case"" CD | CD",Deranged,The Redlight Murder Case,CD,
"Desaster ""Souls of Infernity + The Tyrants Rehearsal Sessions"" CD | CD",Desaster,Souls of Infernity + The Tyrants Rehearsal Sessions,CD,
"Desir de Mourir ""Incure the Wrath of Silence"" CD | CD",Desir de Mourir,Incure the Wrath of Silence,CD,
"Destroyer 666 ""Terror Abraxas"" CD | CD",Destroyer 666,Terror Abraxas,CD,
"Destroyers ""Dziewięć Kręgów Zła"" CD | CD",Destroyers,Dziewięć Kręgów Zła,CD,
"Desultory ""Through Aching Aeons"" CD | CD",Desultory,Through Aching Aeons,CD,
"Det eviga leendet ""Lenience"" Digipak CD | CD",Det eviga leendet,Lenience,CD,
"Deus Ignotus ""Hexapterygon"" Digibook CD | CD",Deus Ignotus,Hexapterygon,CD,
"Devastator ""Nocturnal Slut"" CD | CD",Devastator,Nocturnal Slut,CD,
"Devastator ""The End"" CD | CD",Devastator,The End,CD,
"Devil's Breath ""Embrace of the Serpent"" Digipak CD | CD",Devil's Breath,Embrace of the Serpent,CD,
"Devil's Force ""Singles Collection 2016-2019"" CD | CD",Devil's Force,Singles Collection 2016-2019,CD,
"Devilish Era ""The Deiphobic Syndrome"" CD | CD",Devilish Era,The Deiphobic Syndrome,CD,
"Devilish Era ""The Deiphobic Syndrome"" CD | CD",Devilish Era,The Deiphobic Syndrome,CD,
"Devils Whorehouse ""Blood & Ashes"" Digipak CD | CD",Devils Whorehouse,Blood & Ashes,CD,
"Devils Whorehouse ""Revelation Unorthodox"" CD | CD",Devils Whorehouse,Revelation Unorthodox,CD,
"Devils Whorehouse ""The Howling"" Digipak MCD | CD",Devils Whorehouse,The Howling,CD,
"Devils Whorehouse ""Werewolf"" MCD | CD",Devils Whorehouse,Werewolf,CD,
"Devotion ""The Harrowing"" CD | CD",Devotion,The Harrowing,CD,
"Devourment ""Butcher the Weak"" Digipak CD | CD",Devourment,Butcher the Weak,CD,
"Devourment ""Impaled"" Slim-Pack MCD | CD",Devourment,Impaled,CD,
"Dhak ""Demos & Rarezas"" CD | CD",Dhak,Demos & Rarezas,CD,
"Diablerie ""Transition"" CD | CD",Diablerie,Transition,CD,
"Diabolical Messiah ""Demonic Weapons Against the Sacred"" CD | CD",Diabolical Messiah,Demonic Weapons Against the Sacred,CD,
"Diabolical Messiah ""Satanic Alpha​-​Omega"" CD | CD",Diabolical Messiah,Satanic Alpha​-​Omega,CD,
"Diabolical Sacrilege ""To Dominate Their Psyche"" CD | CD",Diabolical Sacrilege,To Dominate Their Psyche,CD,
"Diabolos Rising ""666"" CD | CD",Diabolos Rising,666,CD,
"Diarrhea ""Anal Torture Grind"" CD | CD",Diarrhea,Anal Torture Grind,CD,
"Diary About My Nightmares ""Forbidden Anger"" CD | CD",Diary About My Nightmares,Forbidden Anger,CD,
"Die Human Race ""Fire of Darkness War Baphomet"" CD | CD",Die Human Race,Fire of Darkness War Baphomet,CD,
"Dikasterion ""Chaos as a New World"" CD | CD",Dikasterion,Chaos as a New World,CD,
"Dimension Zero ""Penetrations from the Lost World"" CD | CD",Dimension Zero,Penetrations from the Lost World,CD,
"Diocletian ""Annihilation Rituals"" CD | CD",Diocletian,Annihilation Rituals,CD,
"Diocletian ""Gesundrian"" CD | CD",Diocletian,Gesundrian,CD,
"Dipygus ""Bushmeat"" CD | CD",Dipygus,Bushmeat,CD,
"Disastrous Murmur ""Skinning Beginning 1989 - 1991"" CD | CD",Disastrous Murmur,Skinning Beginning 1989 - 1991,CD,
